method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.040463616099905,7.568503666689605,74.23499999998603,7.610479616306812
muon_ls,0,0,,2.0430408112532015,7.611836958582141,79.26500000001397,7.647257060753885
muon_const,0,0,1.0,2.0348361512210427,7.498562445800343,8.547000000020489,7.535002529867275
h0_ls,0,0,,2.0114333195698664,7.456085729199818,97.40600000007544,7.456091707082949
signgd_ls,0,0,,2.0359845987734384,7.548050914549638,99.76599999994505,7.585794627374376
signgd_const,0,0,0.01,2.043170995354464,7.588650273185426,5.969000000040978,7.611346787287633
gd_const,0,0,237.13737056616557,2.036634726972498,7.532526396963188,5.969000000040978,7.581014014659735
ngd_const,0,0,5.623413251903491,2.0354880765022143,7.519996651764176,5.967999999993481,7.573243631146902
h0_const,0,0,0.0562341325191,2.0125979319361047,7.456086435508271,6.125,7.456110111775657
