method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.040463616099905,7.568503666689605,74.23499999998603
muon_ls,0,0,,2.0430408112532015,7.611836958582141,79.26500000001397
h0_ls,0,0,,2.0114333195698664,7.456085729199818,97.40600000007544
signgd_ls,0,0,,2.0359845987734384,7.548050914549638,99.76599999994505
gd_const,0,0,237.13737056616557,2.036634726972498,7.532526396963188,5.969000000040978
ngd_const,0,0,7.498942093324558,2.035095908915829,7.512676753828619,5.969000000040978
muon_const,0,0,1.333521432163324,2.0332618642915543,7.512848669908499,8.530999999959022
h0_const,0,0,0.0562341325191,2.0125979319361047,7.456086435508271,6.125
signgd_const,0,0,0.0133352143216,2.0422955616782534,7.610352783561384,6.016000000061467
