method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.9069057351806373,6.6101081974637195,77.56299999996554
muon_ls,0,0,,1.8834117451350683,6.5250490294883905,87.32800000009593
ngd_const,0,0,3.1622776601683795,1.9113705245141133,6.614780355391218,6.407000000006519
h0_ls,0,0,,1.8756416133552476,6.483267482750652,101.68700000003446
signgd_ls,0,0,,1.8980821987936671,6.5853895588728015,97.71799999999348
signgd_const,0,0,0.01,1.9079017242601812,6.604643774410025,6.406000000075437
gd_const,0,0,56.23413251903491,1.9092494651461789,6.703605531972349,17.125
muon_const,0,0,1.7782794100389228,1.8901020615196196,6.55481355141386,16.04599999997299
h0_const,0,0,0.0421696503429,1.8787726335089143,6.4838229727811445,6.594000000040978
