method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.9069057351806373,6.6101081974637195,77.56299999996554,6.637889667377059
muon_ls,0,0,,1.8834117451350683,6.5250490294883905,87.32800000009593,6.534066595467318
h0_ls,0,0,,1.8756416133552476,6.483267482750652,101.68700000003446,6.484737895808977
signgd_ls,0,0,,1.8980821987936671,6.5853895588728015,97.71799999999348,6.604482489087022
gd_const,0,0,42.16965034285822,1.9093523856024563,6.617286675829708,6.343999999924563,6.6433674563868905
ngd_const,0,0,1.333521432163324,1.9140307567621992,6.620669243940028,6.375,6.644917685714878
muon_const,0,0,0.7498942093324559,1.8955604994193727,6.515063243993116,9.312999999965541,6.524965308022389
h0_const,0,0,0.0421696503429,1.8787726335089143,6.4838229727811445,6.594000000040978,6.484994351082811
signgd_const,0,0,0.0056234132519,1.9154222555359006,6.596159960859663,6.375,6.620854982920877
