method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.6353077287841737,4.6479043656116055,99.64099999994505,4.834569248404156
muon_ls,0,0,,1.470548043920525,4.120556693326261,99.90700000000652,4.183792156361664
h0_ls,0,0,,1.4095192488279003,3.9920436220740103,104.85900000005495,3.997708312927871
signgd_ls,0,0,,1.6013686631642847,4.513771147491948,101.625,4.690612641069917
ngd_const,0,0,10.0,1.598449356467834,4.545429019598922,6.453000000095926,4.6383803787605355
gd_const,0,0,177.827941004,1.6084061614819107,4.560587304109345,27.20299999997951,4.679920274227688
muon_const,0,0,1.33352143216,1.491324753503439,4.072278600769079,9.311999999918044,4.110912378951019
h0_const,0,0,0.0237137370566,1.4260789270109082,3.993731000230092,26.905999999959022,4.002062886279229
signgd_const,0,0,0.0177827941004,1.6230613799923521,4.621417411265245,6.390999999945052,4.7113046590677135
