method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.6353077287841737,4.6479043656116055,99.64099999994505
muon_ls,0,0,,1.470548043920525,4.120556693326261,99.90700000000652
h0_ls,0,0,,1.4095192488279003,3.9920436220740103,104.85900000005495
signgd_ls,0,0,,1.6013686631642847,4.513771147491948,101.625
ngd_const,0,0,10.0,1.598449356467834,4.545429019598922,6.453000000095926
h0_const,0,0,0.0316227766017,1.4232083618910025,4.028632961609491,27.45400000002701
gd_const,0,0,177.827941004,1.6084061614819107,4.560587304109345,27.20299999997951
muon_const,0,0,2.37137370566,1.471960482428795,4.117343243409607,9.187000000034459
signgd_const,0,0,0.0562341325191,1.6015686415077102,4.792511911324134,6.453000000095926
