method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0594372299768158,7.761915362155557,77.95400000002701,7.782528500820876
muon_ls,0,0,,2.064779557867333,7.804778682075568,82.65599999995902,7.831242150074692
h0_ls,0,0,,2.0463618512081503,7.731269751875521,77.18800000008196,7.731269772044188
h0_const,0,0,0.1,2.046948578243423,7.731269775899676,6.594000000040978,7.731269793006838
signgd_ls,0,0,,2.060585104993125,7.781331094340787,94.70299999997951,7.800669082025285
gd_const,0,0,421.6965034285823,2.0582102838200766,7.775243830703544,6.406000000075437,7.776052836187391
ngd_const,0,0,4.216965034285822,2.058985915690032,7.756368019072387,6.406000000075437,7.7777309245687105
muon_const,0,0,1.778279410038923,2.059588451944213,7.739424679457003,11.672000000020489,7.745685613067991
signgd_const,0,0,0.0133352143216,2.064513291818618,7.795205286640287,6.657000000006519,7.805878044124404
