method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0594372299768158,7.761915362155557,77.95400000002701
muon_ls,0,0,,2.064779557867333,7.804778682075568,82.65599999995902
h0_ls,0,0,,2.0463618512081503,7.731269751875521,77.18800000008196
h0_const,0,0,0.1,2.046948578243423,7.731269775899676,6.594000000040978
signgd_ls,0,0,,2.060585104993125,7.781331094340787,94.70299999997951
gd_const,0,0,421.6965034285823,2.0582102838200766,7.775243830703544,6.406000000075437
ngd_const,0,0,7.498942093324558,2.0583128514697697,7.759285760899793,6.422000000020489
muon_const,0,0,4.216965034285822,2.056113962212299,7.7655926252025615,8.89000000001397
signgd_const,0,0,0.0562341325191,2.0624293204906596,7.845806548436218,6.453000000095926
