method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.7403451894375868,5.341587429110803,94.56299999996554,5.481628456787987
muon_ls,0,0,,1.6255829222972216,4.955547534392373,103.40599999995902,4.980958856538253
h0_ls,0,0,,1.608460050813928,4.881989519528001,107.70400000002701,4.893313384585514
signgd_ls,0,0,,1.724514246935707,5.244547955904309,96.60999999998603,5.380262339275008
ngd_const,0,0,10.0,1.7255022674941531,5.2315136636131365,6.484000000054948,5.37319356673167
muon_const,0,0,1.0,1.6457514407906872,4.9119622741245355,9.202999999979511,4.932446237303875
gd_const,0,0,237.137370566,1.7302450268521294,5.431957876341868,6.407000000006519,5.3875591582431355
h0_const,0,0,0.0237137370566,1.6215453514074325,4.886785496022064,6.592999999993481,4.898752954518387
signgd_const,0,0,0.0133352143216,1.7527890498632288,5.368890862076703,6.938000000081956,5.460513878019325
