method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,0.44916731479568783,1.4680857827037253,95.35900000005495
muon_ls,0,0,,0.4202267155582722,1.45641939399443,103.71799999999348
h0_ls,0,0,,0.41610741814606,1.4602968829240073,96.15700000000652
signgd_ls,0,0,,0.4451520220532521,1.4686973830418815,98.34299999999348
ngd_const,0,0,31.6227766017,0.47631116217728253,1.4963412425996148,22.70299999997951
gd_const,0,0,4216.96503429,0.4758017498858291,1.460831002377506,5.98499999998603
muon_const,0,0,7.49894209332,0.47017601691932603,1.5232579905794417,8.391000000061467
muon_const,0,0,7.49894209333,0.47017601691932603,1.5232579905794417,25.296999999904074
h0_const,0,0,0.0749894209332,0.41931999962948246,1.4675883066716437,6.125
h0_const,0,0,0.0749894209333,0.41931999962948246,1.4675883066716437,6.125
signgd_const,0,0,0.177827941004,0.4849288668610953,1.5306951353150136,5.969000000040978
