method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0577436430267446,7.741785950428903,75.29700000002049
muon_ls,0,0,,2.0615619487403163,7.776490739780878,82.29599999997299
h0_ls,0,0,,2.042610544338118,7.701825188991492,77.48499999998603
h0_const,0,0,0.1,2.0432320022804698,7.7018251728171245,6.594000000040978
signgd_ls,0,0,,2.058194082007753,7.756051869182951,97.73499999998603
gd_const,0,0,421.6965034285823,2.0562884569126294,7.733065953260679,6.5
ngd_const,0,0,7.498942093324558,2.0562192058843025,7.734510184743252,6.421999999904074
muon_const,0,0,4.216965034285822,2.0523170326405498,7.739892716281324,8.765999999945052
signgd_const,0,0,0.0562341325191,2.060099676836674,7.824075022505478,6.406000000075437
