method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.4966843952316808,3.9320779383206657,100.60999999998603
muon_ls,0,0,,1.0447992393153898,2.6858969634496166,101.60999999998603
h0_ls,0,0,,1.0431279866342609,2.6615363791450033,99.48499999998603
signgd_ls,0,0,,1.4512073946338064,3.745975595708948,105.46900000004098
gd_const,0,0,133.352143216,1.4681828758305613,3.801233788920042,6.48499999998603
ngd_const,0,0,7.49894209332,1.4645642405660486,3.7416779854531637,6.547000000020489
muon_const,0,0,1.77827941004,1.0851453458390172,2.7755422997361205,30.125
h0_const,0,0,0.0237137370566,1.0661352658857977,2.6757408400250835,23.42200000002049
signgd_const,0,0,0.0562341325191,1.4225977321494787,3.6850143586444046,6.422000000020489
