method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0406581582769325,7.677648862192093,79.67200000002049,7.677687312230875
muon_ls,0,0,,2.04155957062894,7.682175379677794,77.60900000005495,7.684351639017463
gd_const,0,0,3162.2776601683795,2.0425100406219436,7.677654456290393,6.35999999998603,7.677765662655662
ngd_const,0,0,3.1622776601683795,2.0536110453339007,7.678370439941517,6.578000000095926,7.67875853745196
h0_ls,0,0,,2.0393217508639485,7.677647166377126,87.125,7.677647157323928
signgd_ls,0,0,,2.0413400166797886,7.6809161558892765,89.07799999997951,7.682064438185346
muon_const,0,0,0.749894209332,2.0505955766000556,7.679045660843905,8.906000000075437,7.679673527897656
h0_const,0,0,0.0749894209332,2.0408035504326865,7.677647161645708,7.375,7.677647171053121
signgd_const,0,0,0.0237137370566,2.050959753238068,7.686390148746735,6.437000000034459,7.686603963986609
