method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0406581582769325,7.677648862192093,79.67200000002049
muon_ls,0,0,,2.04155957062894,7.682175379677794,77.60900000005495
muon_const,0,0,3.1622776601683795,2.0436091281049267,7.695088878088602,8.875
h0_ls,0,0,,2.0393217508639485,7.677647166377126,87.125
signgd_ls,0,0,,2.0413400166797886,7.6809161558892765,89.07799999997951
h0_const,0,0,0.1,2.0402298601866304,7.677677294463914,6.640999999945052
signgd_const,0,0,0.1,2.044936333597089,7.70280895089531,21.156000000075437
gd_const,0,0,5623.413251903491,2.041673558861129,7.686502144385888,19.07799999997951
ngd_const,0,0,17.78279410038923,2.043391014335433,7.691094574144876,6.422000000020489
