method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.058537989356322,7.752375990563995,75.20299999997951
muon_ls,0,0,,2.0640518090651914,7.793600605505221,80.39000000001397
muon_const,0,0,3.1622776601683795,2.054321531897621,7.740352376853483,8.812999999965541
h0_ls,0,0,,2.044637386611845,7.717577309734944,100.0
signgd_ls,0,0,,2.059201194279535,7.769177840953485,91.04599999997299
h0_const,0,0,0.1,2.045189993940693,7.717577328313822,6.60999999998603
gd_const,0,0,421.6965034285823,2.0571385485910154,7.773032906546571,6.328000000095926
ngd_const,0,0,7.498942093324558,2.0571427797333524,7.775183586913162,6.406000000075437
signgd_const,0,0,0.0237137370566,2.0622075493543663,7.80984913859029,6.405999999959022
