method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.058537989356322,7.752375990563995,75.20299999997951,7.774545026576359
muon_ls,0,0,,2.0640518090651914,7.793600605505221,80.39000000001397,7.820839668904547
h0_ls,0,0,,2.044637386611845,7.717577309734944,100.0,7.717577318935643
signgd_ls,0,0,,2.059201194279535,7.769177840953485,91.04599999997299,7.788945843684455
h0_const,0,0,0.1,2.045189993940693,7.717577328313822,6.60999999998603,7.717577364710736
signgd_const,0,0,0.01,2.0652233426641837,7.777800694525587,6.453000000095926,7.796353145397524
gd_const,0,0,421.6965034285823,2.0571385485910154,7.773032906546571,6.328000000095926,7.768479454041161
ngd_const,0,0,4.216965034285822,2.057857486927421,7.744793057353725,6.375,7.767787897881137
muon_const,0,0,1.778279410038923,2.05741421855395,7.725401864718745,15.53200000000652,7.731240270438756
