method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.4306535893968846,3.6361944373198485,96.31199999991804,3.878988322355976
muon_ls,0,0,,1.1297330186457213,2.733282388008143,101.57799999997951,2.856842035128661
h0_ls,0,0,,0.9586396029740303,2.4882191843410526,98.81200000003446,2.5063214656614634
signgd_ls,0,0,,1.375458852431535,3.407894518802423,95.23399999993853,3.6463875694244723
gd_const,0,0,237.137370566,1.3251410565517519,3.6249254613775075,6.577999999979511,3.42038993672207
ngd_const,0,0,13.3352143216,1.328051840554585,3.4191771212838673,27.234000000054948,3.432858019316585
muon_const,0,0,1.33352143216,1.1416542076664664,2.675377789727679,9.23499999998603,2.740190941565015
h0_const,0,0,0.0177827941004,0.9764019864210897,2.4939542602169427,6.60999999998603,2.513385417372181
signgd_const,0,0,0.0177827941004,1.3780577424672753,3.4107933518142417,6.422000000020489,3.547441212335108
