method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0075833866970494,7.308345514306345,76.31300000008196,7.35030146213615
muon_ls,0,0,,1.9958165254905058,7.288002318214767,79.04599999997299,7.305200193755158
h0_ls,0,0,,1.9823119232843378,7.237889308431624,100.46900000004098,7.237988766864487
signgd_ls,0,0,,2.0037473315493526,7.299729421808462,93.57799999997951,7.333284116155889
signgd_const,0,0,0.01,2.014647720574492,7.334519383965632,6.547000000020489,7.360586293138494
gd_const,0,0,421.6965034285823,2.0044268439916246,7.32261561922958,6.547000000020489,7.334125443955718
ngd_const,0,0,5.623413251903491,2.005235710759706,7.3130877044283595,6.530999999959022,7.3340499598361
muon_const,0,0,1.333521432163324,1.9971812185390014,7.254065076721794,9.312000000034459,7.262191320143701
h0_const,0,0,0.0421696503429,1.9844255953079741,7.2379172133234,6.702999999979511,7.238158350501818
