method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0075833866970494,7.308345514306345,76.31300000008196
muon_ls,0,0,,1.9958165254905058,7.288002318214767,79.04599999997299
h0_ls,0,0,,1.9823119232843378,7.237889308431624,100.46900000004098
signgd_ls,0,0,,2.0037473315493526,7.299729421808462,93.57799999997951
gd_const,0,0,421.6965034285823,2.0044268439916246,7.32261561922958,6.547000000020489
ngd_const,0,0,7.498942093324558,2.005100288878165,7.306134812614997,6.547000000020489
muon_const,0,0,2.3713737056616555,1.9935202758878816,7.268566324569164,9.312999999965541
h0_const,0,0,0.0562341325191,1.9838422020381525,7.244116146544041,6.702999999979511
signgd_const,0,0,0.0177827941004,2.0105057341427868,7.361723046265881,27.265999999945052
