method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.975932821526007,7.005074241780249,81.46900000004098
muon_ls,0,0,,1.971257414284113,6.966201995282354,88.42200000002049
h0_ls,0,0,,1.92832682405543,6.848189487578942,79.15600000007544
ngd_const,0,0,10.0,1.9668337972713306,6.993690869473763,6.358999999938533
signgd_ls,0,0,,1.965871191139461,6.9579970922924606,104.51599999994505
signgd_const,0,0,0.0316227766017,1.9769974928621876,7.11224023735272,6.421999999904074
gd_const,0,0,421.6965034285823,1.9680471960252204,6.951314609672632,6.344000000040978
muon_const,0,0,0.7498942093324558,1.9732138893732065,7.040524538250799,9.125
h0_const,0,0,0.056234132519034905,1.930676873829714,6.858534992404856,6.562999999965541
