method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.975932821526007,7.005074241780249,81.46900000004098,7.077261608034089
muon_ls,0,0,,1.971257414284113,6.966201995282354,88.42200000002049,7.022065174416667
h0_ls,0,0,,1.92832682405543,6.848189487578942,79.15600000007544,6.8484074666401105
signgd_ls,0,0,,1.965871191139461,6.9579970922924606,104.51599999994505,7.014620558895431
signgd_const,0,0,0.01,1.9825456322860622,7.006579479468218,6.484000000054948,7.066408952034331
gd_const,0,0,421.6965034285823,1.9680471960252204,6.951314609672632,6.344000000040978,7.025394019116168
ngd_const,0,0,5.623413251903491,1.9686566865432777,6.979989670516403,6.375,7.020918458567019
muon_const,0,0,0.5623413251903491,1.9737230484037438,7.064384382294675,19.01500000001397,7.083060751000422
h0_const,0,0,0.042169650342858224,1.9311832317741926,6.848217485195201,17.31200000003446,6.848579566626723
