method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0466716487445313,7.7356179720870735,74.57799999997951
muon_ls,0,0,,2.0478567102814,7.737304463581976,81.71799999999348
h0_ls,0,0,,2.0465555660706265,7.7356179743137075,81.0
muon_const,0,0,3.1622776601683795,2.0499807862743116,7.7478743786299304,15.40700000000652
signgd_ls,0,0,,2.0471927454863685,7.73696739918663,82.70299999997951
signgd_const,0,0,0.1,2.0510391658444505,7.75443189471636,6.453000000095926
gd_const,0,0,13335.21432163324,2.047232432869007,7.737200761956533,6.453000000095926
ngd_const,0,0,23.713737056616555,2.049289495629314,7.740822562807507,6.375
h0_const,0,0,0.1778279410038923,2.047010830406837,7.735617969473174,6.483999999938533
