method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0466716487445313,7.7356179720870735,74.57799999997951,7.7356179763245025
muon_ls,0,0,,2.0478567102814,7.737304463581976,81.71799999999348,7.738366791921694
h0_ls,0,0,,2.0465555660706265,7.7356179743137075,81.0,7.735617972175604
gd_const,0,0,10000.0,2.0472991058195262,7.73561797039884,6.35999999998603,7.735617976672538
ngd_const,0,0,3.1622776601683795,2.060566343839079,7.735879897281374,6.390999999945052,7.735828325501759
signgd_ls,0,0,,2.0471927454863685,7.73696739918663,82.70299999997951,7.737453662579392
h0_const,0,0,0.1778279410038923,2.047010830406837,7.735617969473174,6.483999999938533,7.735617971679128
muon_const,0,0,0.749894209332,2.056280611648555,7.736430796202697,9.015999999945052,7.736449692577396
signgd_const,0,0,0.0237137370566,2.0578023343965715,7.737525097957871,6.437999999965541,7.738024359120576
