method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_const,0,0,421.6965034285823,1.9680471960252204,6.951314609672632,6.281000000075437
gd_ls,0,0,,1.975932821526007,7.005074241780249,129.10999999998603
muon_ls,0,0,,1.9414670138217116,6.890482268816226,141.51500000001397
h0_ls,0,0,,1.92832682405543,6.848189487578942,79.85999999998603
ngd_const,0,0,10.0,1.9668337972713306,6.993690869473763,6.655999999959022
signgd_ls,0,0,,1.965871191139461,6.9579970922924606,104.21900000004098
signgd_const,0,0,0.03162277660168379,1.9769974928621876,7.11224023735272,6.422000000020489
muon_const,0,0,2.3713737056616555,1.9423611582023488,6.894507125786583,8.766000000061467
h0_const,0,0,0.056234132519034905,1.930676873829714,6.858534992404856,6.469000000040978
