method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_const,0,0,421.6965034285823,1.9680471960252204,6.951314609672632,6.281000000075437,7.025394019116168
gd_ls,0,0,,1.975932821526007,7.005074241780249,129.10999999998603,7.077261608034089
muon_ls,0,0,,1.9414670138217116,6.890482268816226,141.51500000001397,6.90740552827412
h0_ls,0,0,,1.92832682405543,6.848189487578942,79.85999999998603,6.8484074666401105
signgd_ls,0,0,,1.965871191139461,6.9579970922924606,104.21900000004098,7.014620558895431
signgd_const,0,0,0.01,1.9825456322860622,7.006579479468218,27.5,7.066408952034331
ngd_const,0,0,5.623413251903491,1.9686566865432777,6.979989670516403,26.953000000095926,7.020918458567019
muon_const,0,0,1.333521432163324,1.9455198360641306,6.871680843359421,13.51500000001397,6.879816360636387
h0_const,0,0,0.042169650342858224,1.9311832317741926,6.848217485195201,6.51500000001397,6.848579566626723
