method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.7564511600075787,5.380269995502099,81.98400000005495
muon_ls,0,0,,1.613077923315519,4.845534941846729,80.17200000002049
h0_ls,0,0,,1.5756316084772162,4.753049253398192,98.71799999999348
signgd_ls,0,0,,1.7311760564155283,5.248912320625741,103.04700000002049
h0_const,0,0,0.0316227766017,1.579244714030598,4.754857322405312,6.780999999959022
gd_const,0,0,237.13737056616557,1.7383430379052012,5.228613057252211,6.375
ngd_const,0,0,13.33521432163324,1.7399086850776007,5.508990931081762,19.25
muon_const,0,0,1.7782794100389228,1.6169572326575652,4.891747472222302,15.702999999979511
signgd_const,0,0,0.0177827941004,1.743018791708477,5.351031489980819,6.546999999904074
