method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.0099708235395006,7.305079131737553,98.48499999998603,7.358183181720569
muon_ls,0,0,,1.9947030487742663,7.271494792637667,101.79700000002049,7.292832793681603
h0_ls,0,0,,1.9767532699995898,7.197912345324535,105.96899999992456,7.198024438501802
signgd_ls,0,0,,2.003143981458204,7.276239043722981,108.15700000000652,7.319262133528078
signgd_const,0,0,0.01,2.015339500192391,7.3136254658337645,19.07799999997951,7.352787592457846
gd_const,0,0,421.696503429,2.0045642326555204,7.273029357053789,6.468999999924563,7.321632366416755
ngd_const,0,0,5.6234132519,2.004712663067419,7.293907269067611,6.483999999938533,7.3179768325660515
muon_const,0,0,1.77827941004,1.9905541950569616,7.220032541350973,19.79700000002049,7.225932906113114
h0_const,0,0,0.0421696503429,1.9795443091648444,7.1979272943119765,25.35999999998603,7.198159426110397
