method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.5279278430797194,4.099427360448087,75.53100000007544
muon_ls,0,0,,1.2079836706365774,3.1459424327775993,83.0
ngd_const,0,0,10.0,1.4976790677438603,3.8840774469095005,6.375
h0_ls,0,0,,1.1482948784433076,3.031470337701592,98.26599999994505
signgd_ls,0,0,,1.4806875590329063,3.9014791134455287,98.35900000005495
gd_const,0,0,133.3521432163324,1.4992019700834962,3.9228217653511157,6.342999999993481
muon_const,0,0,1.778279410038923,1.2123696572676752,3.1565176249747777,15.733999999938533
h0_const,0,0,0.0237137370566,1.1699980237353476,3.0360901449773507,6.592999999993481
signgd_const,0,0,0.0421696503429,1.4569962678278596,3.803428153098533,27.31299999996554
