method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.5279278430797194,4.099427360448087,75.53100000007544,4.319904093857921
muon_ls,0,0,,1.2079836706365774,3.1459424327775993,83.0,3.2053072084806336
muon_const,0,0,1.0,1.2341948992745189,3.09289736977207,9.204000000027008,3.1145123513129382
h0_ls,0,0,,1.1482948784433076,3.031470337701592,98.26599999994505,3.0515740990332323
signgd_ls,0,0,,1.4806875590329063,3.9014791134455287,98.35900000005495,4.105487634494846
gd_const,0,0,133.3521432163324,1.4992019700834962,3.9228217653511157,6.342999999993481,4.104093006007127
ngd_const,0,0,5.623413251903491,1.4988072699425627,3.8653187306082524,6.359000000054948,4.099098239242606
h0_const,0,0,0.0237137370566,1.1699980237353476,3.0360901449773507,6.592999999993481,3.0567124893993745
signgd_const,0,0,0.0421696503429,1.4569962678278596,3.803428153098533,27.31299999996554,3.9777528339837946
