auc_score,case_id,criterion,family,final_loss,final_minus_wstar,late_score,lr,method,runs,score,wstar_loss,wstar_status
1.975932821526007,ptb,auc,natural_conditional,7.005074241780249,0.15511394288581393,7.077261608034089,,gd_ls,1,1.975932821526007,6.849960298894435,approximate
1.9414670138217116,ptb,auc,natural_conditional,6.890482268816226,0.04052196992179091,6.90740552827412,,muon_ls,1,1.9414670138217116,6.849960298894435,approximate
1.92832682405543,ptb,auc,natural_conditional,6.848189487578942,-0.0017708113154926153,6.8484074666401105,,h0_ls,1,1.92832682405543,6.849960298894435,approximate
1.965871191139461,ptb,auc,natural_conditional,6.9579970922924606,0.10803679339802574,7.014620558895431,,signgd_ls,1,1.965871191139461,6.849960298894435,approximate
1.9680471960252204,ptb,auc,natural_conditional,6.951314609672632,0.10135431077819756,7.025394019116168,421.6965034285823,gd_const,1,1.9680471960252204,6.849960298894435,approximate
1.9668337972713306,ptb,auc,natural_conditional,6.993690869473763,0.14373057057932836,7.028653419100802,10.0,ngd_const,1,1.9668337972713306,6.849960298894435,approximate
1.9423611582023488,ptb,auc,natural_conditional,6.894507125786583,0.04454682689214806,6.90036269030929,2.3713737056616555,muon_const,1,1.9423611582023488,6.849960298894435,approximate
1.930676873829714,ptb,auc,natural_conditional,6.858534992404856,0.00857469351042095,6.856967860019444,0.056234132519034905,h0_const,1,1.930676873829714,6.849960298894435,approximate
1.9769974928621876,ptb,auc,natural_conditional,7.11224023735272,0.2622799384582848,7.126998030356985,0.03162277660168379,signgd_const,1,1.9769974928621876,6.849960298894435,approximate
1.975932821526007,ptb,late,natural_conditional,7.005074241780249,0.15511394288581393,7.077261608034089,,gd_ls,1,7.077261608034089,6.849960298894435,approximate
1.9414670138217116,ptb,late,natural_conditional,6.890482268816226,0.04052196992179091,6.90740552827412,,muon_ls,1,6.90740552827412,6.849960298894435,approximate
1.92832682405543,ptb,late,natural_conditional,6.848189487578942,-0.0017708113154926153,6.8484074666401105,,h0_ls,1,6.8484074666401105,6.849960298894435,approximate
