best_final_loss,best_final_minus_wstar,best_h0_method,best_h0_score,best_method,best_muon_final_loss,best_muon_method,best_muon_score,best_nonmuon_method,best_nonmuon_score,best_scalar_no_h0_method,best_scalar_no_h0_score,best_score,best_signgd_method,best_signgd_score,case_id,criterion,error,family,h0_minus_muon,muon_final_minus_wstar,nonmuon_minus_muon,scalar_no_h0_minus_muon,signgd_minus_muon,status,wstar_alignment_with_B,wstar_alignment_with_H0invB,wstar_gradient_fro,wstar_loss,wstar_reference_method,wstar_seconds,wstar_status,wstar_weight_fro,wstar_weight_stable_rank
6.848189487578942,-0.0017708113154926153,h0_ls,1.92832682405543,h0_ls,6.890482268816226,muon_ls,1.9414670138217116,h0_ls,1.92832682405543,signgd_ls,1.965871191139461,1.92832682405543,signgd_ls,1.965871191139461,ptb,auc,,natural_conditional,-0.013140189766281507,0.04052196992179091,-0.013140189766281507,0.024404177317749465,0.024404177317749465,completed,0.2949386156612082,0.7760679147827725,0.0007998899091035128,6.849960298894435,lbfgs,72.47592186927795,approximate,319.0024719238281,4.766231082042399
6.848189487578942,-0.0017708113154926153,h0_ls,6.8484074666401105,h0_ls,6.871680843359421,muon_const,6.879816360636387,h0_ls,6.8484074666401105,signgd_ls,7.014620558895431,6.8484074666401105,signgd_ls,7.014620558895431,ptb,late,,natural_conditional,-0.03140889399627689,0.02172054446498617,-0.03140889399627689,0.13480419825904377,0.13480419825904377,completed,0.2949386156612082,0.7760679147827725,0.0007998899091035128,6.849960298894435,lbfgs,72.47592186927795,approximate,319.0024719238281,4.766231082042399
0.7319783158120869,-0.012298131852791494,h0_const,-0.18535661843994394,muon_ls,0.7319783158120869,muon_ls,-0.24024794764746685,h0_const,-0.18535661843994394,gd_ls,-0.16622926973675153,-0.24024794764746685,signgd_ls,-0.16181731374499728,sampled_onehot,auc,,finite_support,0.054891329207522904,-0.012298131852791494,0.054891329207522904,0.07401867791071531,0.07843063390246957,completed,0.13027811159826774,0.5094659294427791,0.0004390255780890584,0.7442764476648784,lbfgs,35.839696645736694,attempted_zero_support_approximate,1053.05810546875,28.5735078170695
0.7319783158120869,-0.012298131852791494,h0_const,0.7667250581964312,muon_ls,0.7319783158120869,muon_ls,0.7367828534814591,gd_const,0.7493294393795678,gd_const,0.7493294393795678,0.7367828534814591,signgd_ls,0.7729439029269889,sampled_onehot,late,,finite_support,0.02994220471497211,-0.012298131852791494,0.012546585898108642,0.012546585898108642,0.03616104944552978,completed,0.13027811159826774,0.5094659294427791,0.0004390255780890584,0.7442764476648784,lbfgs,35.839696645736694,attempted_zero_support_approximate,1053.05810546875,28.5735078170695
0.0011976156679868674,,h0_const,-3.9768132702642625,h0_const,0.004930159444376036,muon_const,-2.9554655808692236,h0_const,-3.9768132702642625,ngd_const,-3.1130552518836385,-3.9768132702642625,signgd_const,-2.669462718605764,hard_copy,auc,,copy_am,-1.0213476893950388,,-1.0213476893950388,-0.1575896710144149,0.2860028622634596,completed,,,,,,,skipped_definitely_no_finite_optimum,,
0.00025618075969909725,,h0_const,0.0009973424599906704,h0_const,0.004930159444376036,muon_const,0.021717736220059278,h0_const,0.0009973424599906704,gd_const,0.0038638734750659123,0.0009973424599906704,signgd_const,0.03080974716229359,hard_copy,late,,copy_am,-0.02072039376006861,,-0.02072039376006861,-0.017853862744993364,0.009092010942234312,completed,,,,,,,skipped_definitely_no_finite_optimum,,
5.173025895017636,-0.01455604001906785,h0_ls,1.6575462122818518,h0_ls,5.297305175045592,muon_ls,1.6863445400607813,h0_ls,1.6575462122818518,signgd_ls,1.7890469390814343,1.6575462122818518,signgd_ls,1.7890469390814343,soft_copy_05,auc,,copy_am,-0.028798327778929433,0.10972324000888811,-0.028798327778929433,0.10270239902065303,0.10270239902065303,completed,0.15791081662032128,0.6831216083277826,0.0018036691471934319,5.187581935036704,lbfgs,60.2420015335083,approximate,416.9906921386719,6.8313456953216045
5.173025895017636,-0.01455604001906785,h0_ls,5.175163774613522,h0_ls,5.274195101951777,muon_const,5.30738280735477,h0_ls,5.175163774613522,signgd_ls,5.774271034022955,5.175163774613522,signgd_ls,5.774271034022955,soft_copy_05,late,,copy_am,-0.13221903274124802,0.08661316691507359,-0.13221903274124802,0.46688822666818464,0.46688822666818464,completed,0.15791081662032128,0.6831216083277826,0.0018036691471934319,5.187581935036704,lbfgs,60.2420015335083,approximate,416.9906921386719,6.8313456953216045
7.701825188991492,-0.0018218762535262556,h0_ls,2.042610544338118,h0_ls,7.739892716281324,muon_const,2.0523170326405498,h0_ls,2.042610544338118,ngd_const,2.0562192058843025,2.042610544338118,signgd_ls,2.058194082007753,rewired,auc,,null_no_association,-0.009706488302431815,0.03624565103630584,-0.009706488302431815,0.003902173243752749,0.005877049367203124,completed,0.3597382031910563,0.8762170669160525,0.000389932538382709,7.703647065245018,lbfgs,49.02846837043762,approximate,203.64483642578125,1.2247613068631797
7.701825188991492,-0.0018218762535262556,h0_ls,7.701825182460378,h0_ls,7.709529570484507,muon_const,7.714688700811718,h0_ls,7.701825182460378,gd_const,7.75685631962879,7.701825182460378,signgd_ls,7.778137643477133,rewired,late,,null_no_association,-0.01286351835133992,0.005882505239488189,-0.01286351835133992,0.042167618817072317,0.06344894266541523,completed,0.3597382031910563,0.8762170669160525,0.000389932538382709,7.703647065245018,lbfgs,49.02846837043762,approximate,203.64483642578125,1.2247613068631797
