method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,1.9081656014240047,6.439537484875152,80.18700000003446,6.556033921414075
muon_ls,0,0,,1.833200027600055,6.127900271733411,85.0,6.157161748445345
ngd_const,0,0,10.0,1.8867278488720816,6.328308313254198,6.375,6.415132186266651
muon_const,0,0,1.0,1.837454806997839,6.095555972858856,9.172000000020489,6.107862650630573
h0_ls,0,0,,1.8076415657057314,6.0466919989403785,97.70299999997951,6.04773763680433
signgd_ls,0,0,,1.888719962816848,6.328115898555612,98.43799999996554,6.43368851235737
h0_const,0,0,0.0316227766017,1.8126275892361057,6.04697712319575,6.578000000095926,6.048876437628893
gd_const,0,0,177.8279410038923,1.894641721737032,6.384791884506897,6.359000000054948,6.458850021063856
signgd_const,0,0,0.0133352143216,1.899681099849263,6.393466024979038,6.85999999998603,6.456996982188842
