method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.9081656014240047,6.439537484875152,80.18700000003446
muon_ls,0,0,,1.833200027600055,6.127900271733411,85.0
gd_const,0,0,316.22776601683796,1.8939512783410792,6.284715138089449,17.234000000054948
ngd_const,0,0,10.0,1.8867278488720816,6.328308313254198,6.375
h0_ls,0,0,,1.8076415657057314,6.0466919989403785,97.70299999997951
signgd_ls,0,0,,1.888719962816848,6.328115898555612,98.43799999996554
muon_const,0,0,1.7782794100389228,1.8327310528338892,6.144525210957384,15.827999999979511
h0_const,0,0,0.0421696503429,1.8112176544254937,6.0586867048972906,6.640999999945052
signgd_const,0,0,0.0177827941004,1.897649155052424,6.425194188810558,6.48499999998603
