method,target_seed,rep_seed,lr,auc,final_loss,seconds,late
gd_ls,0,0,,2.03637064785303,7.542162665191137,75.26500000001397,7.580840328859945
muon_ls,0,0,,2.0304883128939264,7.543912119430844,77.89100000006147,7.566242899484717
h0_ls,0,0,,2.0128248814868943,7.469756680995624,90.15600000007544,7.469830392263443
signgd_ls,0,0,,2.032456465111842,7.530144918768401,97.60899999993853,7.560736515328159
h0_const,0,0,0.0316227766017,2.016941559444347,7.469814184768835,6.577999999979511,7.47030419614588
signgd_const,0,0,0.01,2.04172438023446,7.5637601352486055,6.390999999945052,7.588577728046029
gd_const,0,0,421.6965034285823,2.0329431792184818,7.529002886133627,6.375,7.561613236563261
ngd_const,0,0,5.623413251903491,2.033086317372601,7.541052506002045,6.35999999998603,7.557676640209672
muon_const,0,0,1.333521432163324,2.0274961129349878,7.482351364296651,8.922000000020489,7.492133724917493
