method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.03637064785303,7.542162665191137,75.26500000001397
muon_ls,0,0,,2.0304883128939264,7.543912119430844,77.89100000006147
muon_const,0,0,3.1622776601683795,2.023572648287766,7.5091788417623295,8.968999999924563
h0_ls,0,0,,2.0128248814868943,7.469756680995624,90.15600000007544
signgd_ls,0,0,,2.032456465111842,7.530144918768401,97.60899999993853
gd_const,0,0,421.6965034285823,2.0329431792184818,7.529002886133627,6.375
ngd_const,0,0,7.498942093324558,2.0326364856362162,7.521042583038709,6.407000000006519
h0_const,0,0,0.0749894209333,2.014949522329213,7.478448688963579,6.717999999993481
signgd_const,0,0,0.0237137370566,2.0382633380924275,7.601436929197961,15.327999999979511
