method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.457680475744836,3.806987936842753,75.09299999999348
muon_ls,0,0,,1.2145046541433864,3.1775143672328303,78.53099999995902
gd_const,0,0,316.22776601683796,1.4080028315036048,3.619981436131833,6.327999999979511
h0_ls,0,0,,1.155932667410996,3.095991249772204,96.875
signgd_ls,0,0,,1.4098062686303634,3.5923241053802513,100.70400000002701
ngd_const,0,0,13.33521432163324,1.3906189381058345,3.622023066294136,13.062999999965541
muon_const,0,0,1.778279410038923,1.2248322121489141,3.229595371518855,17.65700000000652
h0_const,0,0,0.0421696503429,1.1602900927829274,3.0965341083951836,6.577999999979511
signgd_const,0,0,0.0562341325191,1.4159811159103604,3.90046000851469,6.515999999945052
