spec_optimizer,spec_lr,acc_mean,acc_sem,full_vocab_mean,full_vocab_sem,loss_mean,margin_mean,head_mean,tail_mean,auc_mean,t80_median,seeds
adamw,0.0003,0.98046875,0.006859149578680168,0.98046875,0.006859149578680168,0.07505003424982223,9.712685267130533,0.9973958333333334,0.9661458333333334,0.7179129464285715,1500.0,3
muon,0.001,0.9986979166666666,0.0013020833333333335,0.9986979166666666,0.0013020833333333335,0.005630762471506966,11.648558934529623,0.9973958333333334,1.0,0.7263764880952381,1500.0,3
ngd,0.03,0.15755208333333334,0.0006510416666666666,0.010416666666666666,0.0013020833333333335,6.206010023752849,-0.20977865159511563,0.11197916666666667,0.18229166666666666,0.1462983630952381,,3
sgd,0.03,0.15755208333333334,0.0006510416666666666,0.010416666666666666,0.0013020833333333335,6.206017971038818,-0.20977885027726487,0.11197916666666667,0.18229166666666666,0.1462983630952381,,3
