run,eval_loss,eval_acc,eval_full_vocab_acc,eval_margin,eval_head_acc,eval_tail_acc,step,variant,train_scope,d_model,n_heads,seq_len,n_q,n_k,n_v,m,optimizer,lr,muon_lr,seed,elapsed_s,params_total,params_trainable,prompt_len,train_episodes,train_tokens,eval_episodes_per_eval,random_baseline,spec_group,spec_label,spec_variant,spec_train_scope,spec_optimizer,spec_lr,spec_seed,spec_seq_len,spec_d_model,spec_steps
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.3808352947235107,0.126953125,0.126953125,-1.726288080215454,0.140625,0.078125,750,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,6.002925799926743,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.1828033924102783,0.14453125,0.14453125,-1.6931209564208984,0.1484375,0.1328125,1000,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,7.785126100061461,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.1846349239349365,0.150390625,0.1484375,-1.84077787399292,0.1875,0.109375,1250,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,9.57153859990649,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.2064332962036133,0.140625,0.138671875,-1.906353235244751,0.140625,0.125,1500,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,11.40304660005495,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.112319231033325,0.140625,0.140625,-1.803617000579834,0.15625,0.1171875,1750,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,13.129352499963716,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,2.997491836547852,0.171875,0.171875,-1.679643154144287,0.15625,0.1953125,2000,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,14.85476449993439,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.086313486099243,0.119140625,0.119140625,-1.846047163009644,0.1171875,0.109375,2250,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,16.56057359999977,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d128_adamw_lr0p001_seed1,3.0184543132781982,0.1640625,0.1640625,-1.751910924911499,0.1875,0.203125,2500,one_layer_attn,all,128,4,16,128,128,512,7,adamw,0.001,0.02,1,18.287118900101632,174976,174976,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,128,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,6.765522480010986,0.1484375,0.0,-0.3748959898948669,0.125,0.1484375,0,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,0.134830700000748,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,3.5749049186706543,0.173828125,0.171875,-1.4370417594909668,0.1953125,0.1640625,250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,2.0479582000989467,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,3.1535706520080566,0.125,0.125,-1.7243528366088867,0.125,0.1015625,500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,3.9983224000316113,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.9533913135528564,0.154296875,0.154296875,-1.6573257446289062,0.171875,0.1640625,750,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,6.203939700033516,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.965393304824829,0.130859375,0.130859375,-1.7820672988891602,0.109375,0.140625,1000,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,8.247499000048265,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.9826560020446777,0.1328125,0.1328125,-1.843405842781067,0.171875,0.0859375,1250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,10.212145700119436,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.8908679485321045,0.140625,0.140625,-1.7085769176483154,0.1484375,0.1796875,1500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,12.413427200168371,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.7988951206207275,0.169921875,0.169921875,-1.614163160324097,0.1875,0.1640625,1750,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,14.440621300134808,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.738531351089477,0.169921875,0.169921875,-1.5504798889160156,0.140625,0.2109375,2000,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,16.450451100012287,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.784256219863892,0.1640625,0.1640625,-1.615480661392212,0.1328125,0.15625,2250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,18.744196300162,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed0,2.7724997997283936,0.158203125,0.158203125,-1.5919702053070068,0.140625,0.1953125,2500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,0,20.709199000149965,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,0,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,6.810499668121338,0.12109375,0.0,-0.4152233004570007,0.171875,0.0859375,0,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,0.1434124000370502,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,3.7157883644104,0.154296875,0.154296875,-1.5805652141571045,0.1484375,0.171875,250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,2.1560490999836475,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,3.123001337051392,0.1640625,0.1640625,-1.639560580253601,0.140625,0.1796875,500,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,4.3397571998648345,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.98508620262146,0.16015625,0.16015625,-1.7055028676986694,0.1796875,0.140625,750,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,6.437618199968711,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.984992504119873,0.158203125,0.158203125,-1.7859066724777222,0.15625,0.15625,1000,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,8.493107700021937,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
arch_1l_attn_seq16_d256_adamw_lr0p001_seed1,2.96142315864563,0.14453125,0.14453125,-1.7807989120483398,0.1640625,0.15625,1250,one_layer_attn,all,256,4,16,128,128,512,7,adamw,0.001,0.02,1,10.57837660005316,481024,481024,16,320000,5440000,512,0.1428571428571428,arch,1L-attn,one_layer_attn,all,adamw,0.001,1,16,256,2500
