spec_optimizer,spec_lr,acc_mean,acc_sem,full_vocab_mean,full_vocab_sem,loss_mean,margin_mean,head_mean,tail_mean,auc_mean,t80_median,seeds
adamw,1e-06,0.13736979166666666,0.005675649666068585,0.0006510416666666666,0.0006510416666666667,6.645985762278239,-0.25443388024965924,0.11197916666666667,0.13802083333333334,0.14585658482142858,,3
adamw,3e-06,0.13997395833333334,0.004694728223260403,0.0026041666666666665,0.0006510416666666666,6.495432694753011,-0.19827002783616376,0.12760416666666666,0.140625,0.14492652529761904,,3
adamw,1e-05,0.14127604166666666,0.007920263711325808,0.09049479166666667,0.007920263711325808,6.042460123697917,-0.3320787449677785,0.1328125,0.13802083333333334,0.14804222470238096,,3
adamw,3e-05,0.20963541666666666,0.011844664973086103,0.19791666666666666,0.010477524049108778,5.2899471918741865,-0.27596767743428546,0.3802083333333333,0.15885416666666666,0.1640159970238095,,3
adamw,0.0001,0.6217447916666666,0.12107974829445514,0.6217447916666666,0.12107974829445514,2.010639270146688,1.8184843361377716,0.8489583333333334,0.4791666666666667,0.28550502232142855,,3
adamw,0.0003,0.98046875,0.006859149578680168,0.98046875,0.006859149578680168,0.07505003424982223,9.712685267130533,0.9973958333333334,0.9661458333333334,0.7179129464285715,1500.0,3
adamw,0.001,0.9733072916666666,0.004557291666666667,0.9713541666666666,0.0042691657059257815,0.1702152738968531,11.056950887044271,0.9895833333333334,0.9635416666666666,0.8488420758928571,750.0,3
adamw,0.003,0.154296875,0.02313718182801675,0.08072916666666667,0.005786584907106504,5.2071913083394366,-2.222720742225647,0.20833333333333334,0.10677083333333333,0.14525204613095238,,3
adamw,0.01,0.13997395833333334,0.007675668048536196,0.013020833333333334,0.004557291666666667,6.147010803222656,-0.7438336213429769,0.125,0.15104166666666666,0.1436709449404762,,3
adamw,0.03,0.14127604166666666,0.005084797966085062,0.0032552083333333335,0.0006510416666666666,6.309151649475098,-0.4772631824016571,0.13802083333333334,0.15625,0.14390345982142858,,3
adamw,0.1,0.142578125,0.0033829117335329637,0.0013020833333333333,0.0006510416666666667,6.490662415822347,-0.8790135780970255,0.15104166666666666,0.15364583333333334,0.1446475074404762,,3
muon,1e-06,0.15885416666666666,0.009590442618916822,0.09244791666666667,0.006412016798044339,4.983229796091716,-1.2514783143997192,0.15364583333333334,0.19010416666666666,0.14574032738095238,,3
muon,3e-06,0.15755208333333334,0.011295150763605126,0.10221354166666667,0.009389456446520807,4.90162722269694,-1.2823997338612874,0.14583333333333334,0.19010416666666666,0.14560081845238096,,3
muon,1e-05,0.16276041666666666,0.010169595932170124,0.11979166666666667,0.013214702558713827,4.639314492543538,-1.3718121846516926,0.14583333333333334,0.20052083333333334,0.14657738095238096,,3
muon,3e-05,0.15234375,0.01626301562082916,0.13802083333333334,0.0125737030702005,4.106588045756022,-1.5048003991444905,0.1171875,0.18489583333333334,0.14262462797619047,,3
muon,0.0001,0.15169270833333334,0.0066073512793569135,0.15104166666666666,0.006412016798044339,3.5075300534566245,-1.7919274965922039,0.265625,0.11197916666666667,0.13925316220238096,,3
muon,0.0003,0.9895833333333334,0.0034449886862820195,0.9895833333333334,0.0034449886862820195,0.04034960766633347,8.586444536844889,0.9973958333333334,0.9713541666666666,0.33761160714285715,3000.0,3
muon,0.001,0.9986979166666666,0.0013020833333333335,0.9986979166666666,0.0013020833333333335,0.005630762471506966,11.648558934529623,0.9973958333333334,1.0,0.7263764880952381,1500.0,3
muon,0.003,0.9973958333333334,0.0013020833333333335,0.9973958333333334,0.0013020833333333335,0.022652932908385968,11.423763593037924,1.0,0.9921875,0.8771391369047619,750.0,3
muon,0.01,0.998046875,0.001127637244510988,0.998046875,0.001127637244510988,0.0154917383721719,11.527069727579752,0.9973958333333334,0.9947916666666666,0.9307338169642857,500.0,3
muon,0.03,0.9283854166666666,0.00959044261891682,0.9264322916666666,0.010717498459084849,0.532067745923996,7.5234300295511884,0.9817708333333334,0.9114583333333334,0.8640718005952381,500.0,3
muon,0.1,0.13346354166666666,0.007161458333333333,0.08658854166666667,0.009114583333333334,5.504640420277913,-1.2509874900182087,0.09895833333333333,0.15885416666666666,0.1417178199404762,,3
ngd,1e-06,0.14713541666666666,0.005562502438357768,0.0,0.0,6.753966013590495,-0.2812303900718689,0.140625,0.15885416666666666,0.1427641369047619,,3
ngd,3e-06,0.1484375,0.005167483029423029,0.0,0.0,6.7532172203063965,-0.2809037168820699,0.14322916666666666,0.16145833333333334,0.14281063988095236,,3
ngd,1e-05,0.1484375,0.005966895436140417,0.0,0.0,6.750690301259358,-0.2801961799462636,0.14583333333333334,0.1640625,0.14313616071428573,,3
ngd,3e-05,0.14973958333333334,0.010477524049108778,0.0,0.0,6.743555068969727,-0.2782216270764668,0.14583333333333334,0.16666666666666666,0.14453125,,3
ngd,0.0001,0.14973958333333334,0.007675668048536196,0.0,0.0,6.720815817515056,-0.2713795999685923,0.13020833333333334,0.1640625,0.1453218005952381,,3
ngd,0.0003,0.14127604166666666,0.006412016798044339,0.0,0.0,6.674176057179769,-0.2510746469100316,0.11979166666666667,0.1484375,0.14585658482142858,,3
ngd,0.001,0.14322916666666666,0.003444988686282019,0.0013020833333333333,0.0013020833333333335,6.568732738494873,-0.18794847031434378,0.1328125,0.14322916666666666,0.1443452380952381,,3
ngd,0.003,0.13606770833333334,0.008311943577346163,0.00390625,0.0,6.419665813446045,-0.09385955830415083,0.11458333333333333,0.14322916666666666,0.14627511160714288,,3
ngd,0.01,0.15234375,0.005167483029423029,0.022135416666666668,0.0017224943431410097,6.285696824391683,-0.14078913629055015,0.1484375,0.15364583333333334,0.14657738095238096,,3
ngd,0.03,0.15755208333333334,0.0006510416666666666,0.010416666666666666,0.0013020833333333335,6.206010023752849,-0.20977865159511563,0.11197916666666667,0.18229166666666666,0.1462983630952381,,3
ngd,0.1,0.14388020833333334,0.010416666666666668,0.005208333333333333,0.0017224943431410095,6.173533916473389,-0.4762881398200989,0.13802083333333334,0.14583333333333334,0.14004371279761904,,3
sgd,1e-06,0.14713541666666666,0.005562502438357768,0.0,0.0,6.7539645830790205,-0.2812221745649973,0.140625,0.15885416666666666,0.1427641369047619,,3
sgd,3e-06,0.1484375,0.005167483029423029,0.0,0.0,6.753232479095459,-0.28098294138908386,0.14322916666666666,0.16145833333333334,0.14271763392857142,,3
sgd,1e-05,0.1484375,0.005966895436140417,0.0,0.0,6.750694274902344,-0.2802174588044484,0.14583333333333334,0.1640625,0.14313616071428573,,3
sgd,3e-05,0.14973958333333334,0.010477524049108778,0.0,0.0,6.743555863698323,-0.2782229979832967,0.14583333333333334,0.16666666666666666,0.14453125,,3
sgd,0.0001,0.14973958333333334,0.007675668048536196,0.0,0.0,6.720818042755127,-0.2714093029499054,0.13020833333333334,0.1640625,0.14527529761904762,,3
sgd,0.0003,0.14127604166666666,0.006412016798044339,0.0,0.0,6.674177328745524,-0.2510522405306498,0.11979166666666667,0.1484375,0.14585658482142858,,3
sgd,0.001,0.14322916666666666,0.003444988686282019,0.0013020833333333333,0.0013020833333333335,6.568724632263184,-0.18796396752198538,0.1328125,0.14322916666666666,0.1443452380952381,,3
sgd,0.003,0.13606770833333334,0.008311943577346163,0.00390625,0.0,6.419680595397949,-0.09384739398956293,0.11458333333333333,0.14322916666666666,0.14627511160714288,,3
sgd,0.01,0.15234375,0.005167483029423029,0.022135416666666668,0.0017224943431410097,6.28567377726237,-0.14081305265426633,0.1484375,0.15364583333333334,0.14657738095238096,,3
sgd,0.03,0.15755208333333334,0.0006510416666666666,0.010416666666666666,0.0013020833333333335,6.206017971038818,-0.20977885027726487,0.11197916666666667,0.18229166666666666,0.1462983630952381,,3
sgd,0.1,0.14778645833333334,0.009852048144805703,0.004557291666666667,0.0013020833333333333,6.174238522847493,-0.47567276159922284,0.14322916666666666,0.15364583333333334,0.14139229910714288,,3
