method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,2.0366896687060674,7.54609379360143,75.40600000007544
muon_ls,0,0,,2.0313216700614047,7.550479775449626,82.29700000002049
muon_const,0,0,3.1622776601683795,2.0244268972359887,7.51643198311845,8.922000000020489
h0_ls,0,0,,2.013718420462099,7.476352868849787,98.79599999997299
signgd_ls,0,0,,2.032904838949122,7.535840281132293,96.78099999995902
gd_const,0,0,421.6965034285823,2.03346555238045,7.520636684098441,6.405999999959022
ngd_const,0,0,7.498942093324558,2.0330659976269683,7.526545764468601,6.593999999924563
h0_const,0,0,0.0749894209333,2.0157849831190124,7.484980070248101,6.609000000054948
signgd_const,0,0,0.0237137370566,2.038617148549551,7.605513975366871,15.187999999965541
