method,target_seed,rep_seed,lr,auc,final_loss,seconds
gd_ls,0,0,,1.8104722251932601,5.761674381381114,78.40600000007544
muon_ls,0,0,,1.6863445400607813,5.297305175045592,80.18700000003446
h0_ls,0,0,,1.6575462122818518,5.173025895017636,77.78099999995902
ngd_const,0,0,10.0,1.7970998260354893,5.742855207042162,6.0
h0_const,0,0,0.03162277660168379,1.6602900469434165,5.173117819975713,18.906000000075437
signgd_ls,0,0,,1.7890469390814343,5.633796352291667,100.03100000007544
gd_const,0,0,237.13737056616557,1.7954498957066067,5.597590210594327,5.968999999924563
muon_const,0,0,0.7498942093324559,1.7021271595547318,5.29567975114657,13.172000000020489
signgd_const,0,0,0.0177827941004,1.8001419372501652,5.756222433729684,5.967999999993481
